Acceleration,Cylinders,Displacement,Horsepower,Make,Model,Model Year,MPG,Origin,Weight
14,8,360,215,ford         ,ford f250                        ,70,10,USA    ,4615
15,8,307,200,chevrolet    ,chevrolet c20                    ,70,10,USA    ,4376
13.5,8,318,210,dodge        ,dodge d200                       ,70,11,USA    ,4382
18.5,8,304,193,ih           ,ih 1200d                         ,70,9,USA    ,4732
15.5,4,107,86,fiat         ,fiat 131                         ,76,28,Italy  ,2464
16.9,4,116,81,opel         ,opel 1900                        ,76,25,Germany,2220
14.9,4,140,92,ford         ,ford capri ii                    ,76,25,USA    ,2572
17.7,4,98,79,dodge        ,dodge colt                       ,76,26,USA    ,2255
15.3,4,101,83,renault      ,renault 12tl                     ,76,27,France ,2202
13,8,305,140,chevrolet    ,chevrolet chevelle malibu classic,76,17.5,USA    ,4215
13,8,318,150,dodge        ,dodge coronet brougham           ,76,16,USA    ,4190
13.9,8,304,120,amc          ,amc matador                      ,76,15.5,USA    ,3962
12.8,8,351,152,ford         ,ford gran torino                 ,76,14.5,USA    ,4215
15.4,6,225,100,plymouth     ,plymouth valiant                 ,76,22,USA    ,3233
14.5,6,250,105,chevrolet    ,chevrolet nova                   ,76,22,USA    ,3353
17.6,6,200,81,ford         ,ford maverick                    ,76,24,USA    ,3012
17.6,6,232,90,amc          ,amc hornet                       ,76,22.5,USA    ,3085
22.2,4,85,52,chevrolet    ,chevrolet chevette               ,76,29,USA    ,2035
22.1,4,98,60,chevrolet    ,chevrolet woody                  ,76,24.5,USA    ,2164
14.2,4,90,70,volkswagen   ,volkswagen rabbit                ,76,29,Germany,1937
17.4,4,91,53,honda        ,honda civic                      ,76,33,Japan  ,1795
17.7,6,225,100,dodge        ,dodge aspen se                   ,76,20,USA    ,3651
21,6,250,78,ford         ,ford granada ghia                ,76,18,USA    ,3574
16.2,6,250,110,pontiac      ,pontiac ventura sj               ,76,18.5,USA    ,3645
17.8,6,258,95,amc          ,amc pacer d/l                    ,76,17.5,USA    ,3193
12.2,4,97,71,volkswagen   ,volkswagen rabbit                ,76,29.5,Germany,1825
17,4,85,70,datsun       ,datsun b-210                     ,76,32,Japan  ,1990
16.4,4,97,75,toyota       ,toyota corolla                   ,76,28,Japan  ,2155
13.6,4,140,72,ford         ,ford pinto                       ,76,26.5,USA    ,2565
15.7,4,130,102,volvo        ,volvo 245                        ,76,20,Sweden ,3150
13.2,8,318,150,plymouth     ,plymouth volare premier v8       ,76,13,USA    ,3940
21.9,4,120,88,peugeot      ,peugeot 504                      ,76,19,France ,3270
15.5,6,156,108,toyota       ,toyota mark ii                   ,76,19,Japan  ,2930
16.7,6,168,120,mercedes-benz,mercedes-benz 280s               ,76,16.5,Germany,3820
12.1,8,350,180,cadillac     ,cadillac seville                 ,76,16.5,USA    ,4380
12,8,350,145,chevrolet    ,chevrolet c10                    ,76,13,USA    ,4055
15,8,302,130,ford         ,ford f108                        ,76,13,USA    ,3870
14,8,318,150,dodge        ,dodge d100                       ,76,13,USA    ,3755
19.6,4,112,88,chevrolet    ,chevrolet cavalier               ,82,28,USA    ,2605
18.6,4,112,88,chevrolet    ,chevrolet cavalier wagon         ,82,27,USA    ,2640
18,4,112,88,chevrolet    ,chevrolet cavalier 2-door        ,82,34,USA    ,2395
16.2,4,112,85,pontiac      ,pontiac j2000 se hatchback       ,82,31,USA    ,2575
16,4,135,84,dodge        ,dodge aries se                   ,82,29,USA    ,2525
18,4,151,90,pontiac      ,pontiac phoenix                  ,82,27,USA    ,2735
16.4,4,140,92,ford         ,ford fairmont futura             ,82,24,USA    ,2865
20.5,4,151,NaN,amc          ,amc concord dl                   ,82,23,USA    ,3035
15.3,4,105,74,volkswagen   ,volkswagen rabbit l              ,82,36,Germany,1980
18.2,4,91,68,mazda        ,mazda glc custom l               ,82,37,Japan  ,2025
17.6,4,91,68,mazda        ,mazda glc custom                 ,82,31,Japan  ,1970
14.7,4,105,63,plymouth     ,plymouth horizon miser           ,82,38,USA    ,2125
17.3,4,98,70,mercury      ,mercury lynx l                   ,82,36,USA    ,2125
14.5,4,120,88,nissan       ,nissan stanza xe                 ,82,36,Japan  ,2160
14.5,4,107,75,honda        ,honda accord                     ,82,36,Japan  ,2205
16.9,4,108,70,toyota       ,toyota corolla                   ,82,34,Japan  ,2245
15,4,91,67,honda        ,honda civic                      ,82,38,Japan  ,1965
15.7,4,91,67,honda        ,honda civic (auto)               ,82,32,Japan  ,1965
16.2,4,91,67,datsun       ,datsun 310 gx                    ,82,38,Japan  ,1995
16.4,6,181,110,buick        ,buick century limited            ,82,25,USA    ,2945
17,6,262,85,oldsmobile   ,oldsmobile cutlass ciera (diesel),82,38,USA    ,3015
14.5,4,156,92,chrysler     ,chrysler lebaron medallion       ,82,26,USA    ,2585
14.7,6,232,112,ford         ,ford granada l                   ,82,22,USA    ,2835
13.9,4,144,96,toyota       ,toyota celica gt                 ,82,32,Japan  ,2665
13,4,135,84,dodge        ,dodge charger 2.2                ,82,36,USA    ,2370
17.3,4,151,90,chevrolet    ,chevrolet camaro                 ,82,27,USA    ,2950
15.6,4,140,86,ford         ,ford mustang gl                  ,82,27,USA    ,2790
24.6,4,97,52,volkswagen   ,volkswagen pickup                ,82,44,Germany,2130
11.6,4,135,84,dodge        ,dodge rampage                    ,82,32,USA    ,2295
18.6,4,120,79,ford         ,ford ranger                      ,82,28,USA    ,2625
19.4,4,119,82,chevrolet    ,chevrolet s-10                   ,82,31,USA    ,2720
