street,sq__ft,sale_date,price,latitude,longitude,city,state,zip,beds,baths,type,Empty Lot,Street Types
7223 KALLIE KAY LN,1463,Wed May 21 00:00:00 EDT 2008,174250,38.477553,-121.419463,SACRAMENTO,CA,95823,3,2,Residential,False,LN
8156 STEINBECK WAY,1714,Wed May 21 00:00:00 EDT 2008,174313,38.474853,-121.406326,SACRAMENTO,CA,95828,4,2,Residential,False,WAY
7957 VALLEY GREEN DR,1185,Wed May 21 00:00:00 EDT 2008,178480,38.465184,-121.434925,SACRAMENTO,CA,95823,3,2,Residential,False,DR
1122 WILD POPPY CT,1406,Wed May 21 00:00:00 EDT 2008,178760,38.287789000000004,-121.294715,GALT,CA,95632,3,2,Residential,False,CT
4520 BOMARK WAY,1943,Wed May 21 00:00:00 EDT 2008,179580,38.665724,-121.358576,SACRAMENTO,CA,95842,4,2,Multi-Family,False,WAY
9012 KIEFER BLVD,1172,Wed May 21 00:00:00 EDT 2008,181000,38.547011,-121.36621699999999,SACRAMENTO,CA,95826,3,2,Residential,False,BLVD
5332 SANDSTONE ST,1152,Wed May 21 00:00:00 EDT 2008,181872,38.662105,-121.31394499999999,CARMICHAEL,CA,95608,3,1,Residential,False,ST
5993 SAWYER CIR,1851,Wed May 21 00:00:00 EDT 2008,182587,38.4473,-121.43521799999999,SACRAMENTO,CA,95823,4,3,Residential,False,CIR
4844 CLYDEBANK WAY,1215,Wed May 21 00:00:00 EDT 2008,182716,38.714609,-121.34788700000001,ANTELOPE,CA,95843,3,2,Residential,False,WAY
306 CAMELLIA WAY,1130,Wed May 21 00:00:00 EDT 2008,182750,38.260443,-121.29786399999999,GALT,CA,95632,3,2,Residential,False,WAY
9021 MADISON AVE,1603,Wed May 21 00:00:00 EDT 2008,183200,38.664186,-121.21751100000002,ORANGEVALE,CA,95662,4,2,Residential,False,AVE
404 6TH ST,1479,Wed May 21 00:00:00 EDT 2008,188741,38.251808000000004,-121.302493,GALT,CA,95632,3,1,Residential,False,ST
8317 SUNNY CREEK WAY,1420,Wed May 21 00:00:00 EDT 2008,189000,38.459041,-121.424644,SACRAMENTO,CA,95823,3,2,Residential,False,WAY
2617 BASS CT,1280,Wed May 21 00:00:00 EDT 2008,192067,38.560767,-121.377471,SACRAMENTO,CA,95826,3,2,Residential,False,CT
7005 TIANT WAY,1586,Wed May 21 00:00:00 EDT 2008,194000,38.422810999999996,-121.423285,ELK GROVE,CA,95758,3,2,Residential,False,WAY
7895 CABER WAY,1362,Wed May 21 00:00:00 EDT 2008,194818,38.711279,-121.393449,ANTELOPE,CA,95843,3,2,Residential,False,WAY
7624 BOGEY CT,2162,Wed May 21 00:00:00 EDT 2008,195000,38.480090000000004,-121.415102,SACRAMENTO,CA,95828,4,4,Multi-Family,False,CT
6930 HAMPTON COVE WAY,1266,Wed May 21 00:00:00 EDT 2008,198000,38.44004,-121.421012,SACRAMENTO,CA,95823,3,2,Residential,False,WAY
8708 MESA BROOK WAY,1715,Wed May 21 00:00:00 EDT 2008,199500,38.44076,-121.385792,ELK GROVE,CA,95624,4,2,Residential,False,WAY
120 GRANT LN,1820,Wed May 21 00:00:00 EDT 2008,200000,38.687742,-121.17103999999999,FOLSOM,CA,95630,3,2,Residential,False,LN
5907 ELLERSLEE DR,936,Wed May 21 00:00:00 EDT 2008,200000,38.664468,-121.32683,CARMICHAEL,CA,95608,3,1,Residential,False,DR
17 SERASPI CT,0,Wed May 21 00:00:00 EDT 2008,206000,38.631481,-121.50188,SACRAMENTO,CA,95834,0,0,Residential,True,CT
170 PENHOW CIR,1511,Wed May 21 00:00:00 EDT 2008,208000,38.653439,-121.535169,SACRAMENTO,CA,95834,3,2,Residential,False,CIR
8345 STAR THISTLE WAY,1590,Wed May 21 00:00:00 EDT 2008,212864,38.454349,-121.43923899999999,SACRAMENTO,CA,95823,4,2,Residential,False,WAY
9080 FRESCA WAY,1596,Wed May 21 00:00:00 EDT 2008,221000,38.427818,-121.424026,ELK GROVE,CA,95758,4,2,Residential,False,WAY
391 NATALINO CIR,1341,Wed May 21 00:00:00 EDT 2008,221000,38.67307,-121.506373,SACRAMENTO,CA,95835,2,2,Residential,False,CIR
8373 BLACKMAN WAY,2136,Wed May 21 00:00:00 EDT 2008,223058,38.435435999999996,-121.39453600000002,ELK GROVE,CA,95624,5,3,Residential,False,WAY
9837 CORTE DORADO CT,1616,Wed May 21 00:00:00 EDT 2008,227887,38.400676000000004,-121.38101,ELK GROVE,CA,95624,4,2,Residential,False,CT
5037 J PKWY,1478,Wed May 21 00:00:00 EDT 2008,231477,38.491399,-121.443547,SACRAMENTO,CA,95823,3,2,Residential,False,PKWY
10245 LOS PALOS DR,1287,Wed May 21 00:00:00 EDT 2008,234697,38.593699,-121.31088999999999,RANCHO CORDOVA,CA,95670,3,2,Residential,False,DR
6613 NAVION DR,1277,Wed May 21 00:00:00 EDT 2008,235000,38.702855,-121.31308,CITRUS HEIGHTS,CA,95621,4,2,Residential,False,DR
2887 AZEVEDO DR,1448,Wed May 21 00:00:00 EDT 2008,236000,38.618457,-121.50943899999999,SACRAMENTO,CA,95833,4,2,Residential,False,DR
9186 KINBRACE CT,2235,Wed May 21 00:00:00 EDT 2008,236685,38.463355,-121.35893600000001,SACRAMENTO,CA,95829,4,3,Residential,False,CT
4243 MIDDLEBURY WAY,2093,Wed May 21 00:00:00 EDT 2008,237800,38.547990999999996,-121.280483,MATHER,CA,95655,3,2,Residential,False,WAY
1028 FALLON PLACE CT,1193,Wed May 21 00:00:00 EDT 2008,240122,38.693818,-121.441153,RIO LINDA,CA,95673,3,2,Residential,False,CT
4804 NORIKER DR,2163,Wed May 21 00:00:00 EDT 2008,242638,38.400974,-121.448424,ELK GROVE,CA,95757,3,2,Residential,False,DR
7713 HARVEST WOODS DR,1269,Wed May 21 00:00:00 EDT 2008,244000,38.478198,-121.41291100000001,SACRAMENTO,CA,95828,3,2,Residential,False,DR
2866 KARITSA AVE,0,Wed May 21 00:00:00 EDT 2008,244500,38.626671,-121.52597,SACRAMENTO,CA,95833,0,0,Residential,True,AVE
6913 RICHEVE WAY,958,Wed May 21 00:00:00 EDT 2008,244960,38.502519,-121.42076899999999,SACRAMENTO,CA,95828,3,1,Residential,False,WAY
8636 TEGEA WAY,2508,Wed May 21 00:00:00 EDT 2008,245918,38.443832,-121.38208700000001,ELK GROVE,CA,95624,5,3,Residential,False,WAY
5448 MAIDSTONE WAY,1305,Wed May 21 00:00:00 EDT 2008,250000,38.665395000000004,-121.29328799999999,CITRUS HEIGHTS,CA,95621,3,2,Residential,False,WAY
18 OLLIE CT,1591,Wed May 21 00:00:00 EDT 2008,250000,38.444909,-121.412345,ELK GROVE,CA,95758,4,2,Residential,False,CT
4010 ALEX LN,1326,Wed May 21 00:00:00 EDT 2008,250134,38.637028,-121.31296299999998,CARMICHAEL,CA,95608,2,2,Condo,False,LN
4901 MILLNER WAY,1843,Wed May 21 00:00:00 EDT 2008,254200,38.38692,-121.447349,ELK GROVE,CA,95757,3,2,Residential,False,WAY
4818 BRITTNEY LEE CT,1921,Wed May 21 00:00:00 EDT 2008,254200,38.653917,-121.34218,SACRAMENTO,CA,95841,4,2,Residential,False,CT
5529 LAGUNA PARK DR,2790,Wed May 21 00:00:00 EDT 2008,258000,38.42568,-121.43806200000002,ELK GROVE,CA,95758,5,3,Residential,False,DR
230 CANDELA CIR,1541,Wed May 21 00:00:00 EDT 2008,260000,38.656251,-121.547572,SACRAMENTO,CA,95835,3,2,Residential,False,CIR
4900 71ST ST,1018,Wed May 21 00:00:00 EDT 2008,260014,38.53151,-121.421089,SACRAMENTO,CA,95820,3,1,Residential,False,ST
12209 CONSERVANCY WAY,0,Wed May 21 00:00:00 EDT 2008,263500,38.553867,-121.219141,RANCHO CORDOVA,CA,95742,0,0,Residential,True,WAY
4236 NATOMAS CENTRAL DR,1672,Wed May 21 00:00:00 EDT 2008,265000,38.648879,-121.544023,SACRAMENTO,CA,95834,3,2,Condo,False,DR
5615 LUPIN LN,1380,Wed May 21 00:00:00 EDT 2008,265000,38.708315,-120.603872,POLLOCK PINES,CA,95726,3,2,Residential,False,LN
5625 JAMES WAY,975,Wed May 21 00:00:00 EDT 2008,271742,38.523947,-121.484946,SACRAMENTO,CA,95822,3,1,Residential,False,WAY
7842 LAHONTAN CT,2372,Wed May 21 00:00:00 EDT 2008,273750,38.472976,-121.318633,SACRAMENTO,CA,95829,4,3,Residential,False,CT
6850 21ST ST,1446,Wed May 21 00:00:00 EDT 2008,275086,38.502194,-121.49079499999999,SACRAMENTO,CA,95822,3,2,Residential,False,ST
2900 BLAIR RD,1284,Wed May 21 00:00:00 EDT 2008,280908,38.75485,-120.60476000000001,POLLOCK PINES,CA,95726,2,2,Residential,False,RD
2064 EXPEDITION WAY,3009,Wed May 21 00:00:00 EDT 2008,280987,38.474099,-121.490711,SACRAMENTO,CA,95832,4,3,Residential,False,WAY
2912 NORCADE CIR,3612,Wed May 21 00:00:00 EDT 2008,282400,38.559505,-121.36483899999999,SACRAMENTO,CA,95826,8,4,Multi-Family,False,CIR
9507 SEA CLIFF WAY,2056,Wed May 21 00:00:00 EDT 2008,285000,38.410992,-121.47904299999999,ELK GROVE,CA,95758,4,2,Residential,False,WAY
8882 AUTUMN GOLD CT,1993,Wed May 21 00:00:00 EDT 2008,287417,38.4439,-121.37255,ELK GROVE,CA,95624,4,2,Residential,False,CT
5322 WHITE LOTUS WAY,1857,Wed May 21 00:00:00 EDT 2008,291000,38.391538,-121.442596,ELK GROVE,CA,95757,3,2,Residential,False,WAY
1838 CASTRO WAY,1126,Wed May 21 00:00:00 EDT 2008,292024,38.556098,-121.49078700000001,SACRAMENTO,CA,95818,2,1,Residential,False,WAY
10158 CRAWFORD WAY,2213,Wed May 21 00:00:00 EDT 2008,297000,38.5703,-121.315735,SACRAMENTO,CA,95827,4,4,Multi-Family,False,WAY
7731 MASTERS ST,2494,Wed May 21 00:00:00 EDT 2008,297000,38.442031,-121.410873,ELK GROVE,CA,95758,5,3,Residential,False,ST
4925 PERCHERON DR,1843,Wed May 21 00:00:00 EDT 2008,298000,38.401540000000004,-121.447649,ELK GROVE,CA,95757,3,2,Residential,False,DR
2010 PROMONTORY POINT LN,1520,Wed May 21 00:00:00 EDT 2008,299000,38.62869,-121.261669,GOLD RIVER,CA,95670,2,2,Residential,False,LN
4727 SAVOIE WAY,2800,Wed May 21 00:00:00 EDT 2008,304037,38.658182000000004,-121.549521,SACRAMENTO,CA,95835,5,3,Residential,False,WAY
8664 MAGNOLIA HILL WAY,2309,Wed May 21 00:00:00 EDT 2008,311000,38.442352,-121.389675,ELK GROVE,CA,95624,4,2,Residential,False,WAY
9570 HARVEST ROSE WAY,2367,Wed May 21 00:00:00 EDT 2008,315537,38.555993,-121.340352,SACRAMENTO,CA,95827,5,3,Residential,False,WAY
4359 CREGAN CT,3516,Wed May 21 00:00:00 EDT 2008,320000,38.545128000000005,-121.22492199999999,RANCHO CORDOVA,CA,95742,5,4,Residential,False,CT
5337 DUSTY ROSE WAY,0,Wed May 21 00:00:00 EDT 2008,320000,38.528575,-121.2286,RANCHO CORDOVA,CA,95742,0,0,Residential,True,WAY
8929 SUTTERS GOLD DR,1914,Wed May 21 00:00:00 EDT 2008,328360,38.550847999999995,-121.370224,SACRAMENTO,CA,95826,4,3,Residential,False,DR
8025 PEERLESS AVE,1690,Wed May 21 00:00:00 EDT 2008,334150,38.71147,-121.216214,ORANGEVALE,CA,95662,2,1,Residential,False,AVE
4620 WELERA WAY,2725,Wed May 21 00:00:00 EDT 2008,335750,38.398609,-121.450148,ELK GROVE,CA,95757,3,3,Residential,False,WAY
9723 TERRAPIN CT,2354,Wed May 21 00:00:00 EDT 2008,335750,38.403492,-121.430224,ELK GROVE,CA,95757,4,3,Residential,False,CT
2115 SMOKESTACK WAY,0,Wed May 21 00:00:00 EDT 2008,339500,38.602416,-121.542965,SACRAMENTO,CA,95833,0,0,Residential,True,WAY
100 REBECCA WAY,2185,Wed May 21 00:00:00 EDT 2008,344250,38.68479,-121.149199,FOLSOM,CA,95630,3,2,Residential,False,WAY
9488 OAK VILLAGE WAY,1801,Wed May 21 00:00:00 EDT 2008,346210,38.41333,-121.404999,ELK GROVE,CA,95758,4,2,Residential,False,WAY
8495 DARTFORD DR,1961,Wed May 21 00:00:00 EDT 2008,347029,38.448507,-121.421346,SACRAMENTO,CA,95823,3,3,Residential,False,DR
6708 PONTA DO SOL WAY,3134,Wed May 21 00:00:00 EDT 2008,347650,38.380635,-121.42553799999999,ELK GROVE,CA,95757,4,2,Residential,False,WAY
4143 SEA MEADOW WAY,1915,Wed May 21 00:00:00 EDT 2008,351300,38.465340000000005,-121.45751899999999,SACRAMENTO,CA,95823,4,3,Residential,False,WAY
3020 RICHARDSON CIR,0,Wed May 21 00:00:00 EDT 2008,352000,38.691299,-121.08175200000001,EL DORADO HILLS,CA,95762,3,2,Residential,True,CIR
8082 LINDA ISLE LN,0,Wed May 21 00:00:00 EDT 2008,370000,38.4772,-121.5215,SACRAMENTO,CA,95831,0,0,Residential,True,LN
15300 MURIETA SOUTH PKWY,2734,Wed May 21 00:00:00 EDT 2008,370500,38.4874,-121.075129,RANCHO MURIETA,CA,95683,4,3,Residential,False,PKWY
11215 SHARRMONT CT,2110,Wed May 21 00:00:00 EDT 2008,372000,38.35062,-121.228349,WILTON,CA,95693,3,2,Residential,False,CT
7105 DANBERG WAY,3164,Wed May 21 00:00:00 EDT 2008,375000,38.4019,-121.42038799999999,ELK GROVE,CA,95757,5,3,Residential,False,WAY
5579 JERRY LITELL WAY,3599,Wed May 21 00:00:00 EDT 2008,381300,38.677126,-121.500519,SACRAMENTO,CA,95835,5,3,Residential,False,WAY
1050 FOXHALL WAY,2054,Wed May 21 00:00:00 EDT 2008,381942,38.509819,-121.51966100000001,SACRAMENTO,CA,95831,4,2,Residential,False,WAY
7837 ABBINGTON WAY,1830,Wed May 21 00:00:00 EDT 2008,387731,38.709872999999995,-121.339472,ANTELOPE,CA,95843,4,2,Residential,False,WAY
1300 F ST,1627,Wed May 21 00:00:00 EDT 2008,391000,38.58355,-121.48728899999999,SACRAMENTO,CA,95814,3,3,Residential,False,ST
6801 RAWLEY WAY,3440,Wed May 21 00:00:00 EDT 2008,394470,38.408351,-121.423925,ELK GROVE,CA,95757,4,3,Residential,False,WAY
1693 SHELTER COVE DR,2846,Wed May 21 00:00:00 EDT 2008,395000,38.945357,-120.908822,GREENWOOD,CA,95635,3,2,Residential,False,DR
9361 WADDELL LN,2359,Wed May 21 00:00:00 EDT 2008,400186,38.450829,-121.349928,ELK GROVE,CA,95624,4,3,Residential,False,LN
10 SEA FOAM CT,2052,Wed May 21 00:00:00 EDT 2008,415000,38.487885,-121.545947,SACRAMENTO,CA,95831,3,3,Residential,False,CT
6945 RIO TEJO WAY,3433,Wed May 21 00:00:00 EDT 2008,425000,38.385638,-121.42261599999999,ELK GROVE,CA,95757,5,3,Residential,False,WAY
4186 TULIP PARK WAY,3615,Wed May 21 00:00:00 EDT 2008,430000,38.550616999999995,-121.23526000000001,RANCHO CORDOVA,CA,95742,5,3,Residential,False,WAY
9278 DAIRY CT,0,Wed May 21 00:00:00 EDT 2008,445000,38.420338,-121.363757,ELK GROVE,CA,95624,0,0,Residential,True,CT
207 ORANGE BLOSSOM CIR Unit C,2687,Wed May 21 00:00:00 EDT 2008,460000,38.646273,-121.175322,FOLSOM,CA,95630,5,3,Residential,False,CIR
6507 RIO DE ONAR WAY,2724,Wed May 21 00:00:00 EDT 2008,461000,38.382529999999996,-121.42800700000001,ELK GROVE,CA,95757,4,3,Residential,False,WAY
7004 RAWLEY WAY,3440,Wed May 21 00:00:00 EDT 2008,489332,38.406421,-121.422081,ELK GROVE,CA,95757,4,3,Residential,False,WAY
6503 RIO DE ONAR WAY,3508,Wed May 21 00:00:00 EDT 2008,510000,38.382529999999996,-121.42803799999999,ELK GROVE,CA,95757,5,4,Residential,False,WAY
2217 APPALOOSA CT,2462,Wed May 21 00:00:00 EDT 2008,539000,38.655167,-121.09017800000001,FOLSOM,CA,95630,4,2,Residential,False,CT
868 HILDEBRAND CIR,0,Wed May 21 00:00:00 EDT 2008,585000,38.670947,-121.097727,FOLSOM,CA,95630,0,0,Residential,True,CIR
6030 PALERMO WAY,0,Wed May 21 00:00:00 EDT 2008,600000,38.672761,-121.05037800000001,EL DORADO HILLS,CA,95762,4,3,Residential,True,WAY
4070 REDONDO DR,0,Wed May 21 00:00:00 EDT 2008,606238,38.666807,-121.06483,EL DORADO HILLS,CA,95762,4,3,Residential,True,DR
4004 CRESTA WAY,2325,Wed May 21 00:00:00 EDT 2008,660000,38.591618,-121.370626,SACRAMENTO,CA,95864,3,3,Residential,False,WAY
315 JUMEL CT,0,Wed May 21 00:00:00 EDT 2008,830000,38.669931,-121.05958000000001,EL DORADO HILLS,CA,95762,6,5,Residential,True,CT
6272 LONGFORD DR Unit 1,795,Tue May 20 00:00:00 EDT 2008,69000,38.680923,-121.31394499999999,CITRUS HEIGHTS,CA,95621,2,1,Condo,False,DR
3432 Y ST,1099,Tue May 20 00:00:00 EDT 2008,70000,38.554967,-121.468046,SACRAMENTO,CA,95817,4,2,Residential,False,ST
9512 EMERALD PARK DR Unit 3,840,Tue May 20 00:00:00 EDT 2008,71000,38.40573,-121.369832,ELK GROVE,CA,95624,2,1,Condo,False,DR
3132 CLAY ST,800,Tue May 20 00:00:00 EDT 2008,78000,38.624678,-121.439203,SACRAMENTO,CA,95815,2,1,Residential,False,ST
5221 38TH AVE,746,Tue May 20 00:00:00 EDT 2008,78400,38.518044,-121.443555,SACRAMENTO,CA,95824,2,1,Residential,False,AVE
6112 HERMOSA ST,1067,Tue May 20 00:00:00 EDT 2008,80000,38.515125,-121.48041599999999,SACRAMENTO,CA,95822,3,1,Residential,False,ST
483 ARCADE BLVD,1316,Tue May 20 00:00:00 EDT 2008,89000,38.623571000000005,-121.454884,SACRAMENTO,CA,95815,4,2,Residential,False,BLVD
671 SONOMA AVE,1337,Tue May 20 00:00:00 EDT 2008,90000,38.622953,-121.450142,SACRAMENTO,CA,95815,3,1,Residential,False,AVE
5980 79TH ST,868,Tue May 20 00:00:00 EDT 2008,90000,38.518373,-121.41177900000001,SACRAMENTO,CA,95824,2,1,Residential,False,ST
7607 ELDER CREEK RD,924,Tue May 20 00:00:00 EDT 2008,92000,38.51055,-121.414768,SACRAMENTO,CA,95824,3,1,Residential,False,RD
5028 14TH AVE,610,Tue May 20 00:00:00 EDT 2008,93675,38.53942,-121.446894,SACRAMENTO,CA,95820,2,1,Residential,False,AVE
14788 NATCHEZ CT,0,Tue May 20 00:00:00 EDT 2008,97750,38.492287,-121.10003200000001,RANCHO MURIETA,CA,95683,0,0,Residential,True,CT
1069 ACACIA AVE,1220,Tue May 20 00:00:00 EDT 2008,98000,38.621998,-121.44223799999999,SACRAMENTO,CA,95815,2,1,Residential,False,AVE
5201 LAGUNA OAKS DR Unit 199,722,Tue May 20 00:00:00 EDT 2008,98000,38.423251,-121.44448899999999,ELK GROVE,CA,95758,1,1,Condo,False,DR
3847 LAS PASAS WAY,1643,Tue May 20 00:00:00 EDT 2008,99000,38.588671999999995,-121.373916,SACRAMENTO,CA,95864,3,1,Residential,False,WAY
